#,students,std,non-students,std
1,2.47,1.25,1.57,0.97
2,2.07,0.88,1.44,0.76
3,1.67,0.89,1.16,0.57
4,1.44,0.76,1.07,0.26
5,1.76,0.98,1.22,0.68
6,3.25,1.23,2.08,1.25
7,2.65,1.14,1.81,1.19
8,2.78,1.22,1.76,1.1
9,2.25,0.97,1.66,1.0
10,3.34,1.2,2.44,1.34
11,2.10,1.0,1.53,0.89
12,2.98,1.06,2.12,1.23
13,3.14,1.18,2.27,1.36
14,2.46,0.97,1.73,1.12
15,2.01,1.05,1.72,1.1
16,2.37,1.22,2.27,1.35
17,3.52,1.02,2.17,1.17
18,4.07,1.13,2.78,1.3
19,3.95,1.16,3.80,1.37
20,4.42,0.78,4.11,1.15
21,4.29,0.99,4.00,1.24
22,4.02,1.08,2.77,1.19
23,3.40,1.3,2.24,1.33
24,3.73,0.97,3.00,1.21
25,4.01,0.99,3.63,1.15
26,3.90,1.01,3.73,1.08
27,4.64,0.77,4.68,0.64
28,4.51,0.95,4.07,1.39
29,4.26,0.99,3.97,1.44
30,4.61,0.82,4.53,0.79
31,4.24,0.83,4.03,1.19
