#,Question,Iteration,Response
1,Creating new accounts to abuse free trials,0,1
1,Creating new accounts to abuse free trials,1,1
1,Creating new accounts to abuse free trials,2,1
1,Creating new accounts to abuse free trials,3,1
1,Creating new accounts to abuse free trials,4,1
1,Creating new accounts to abuse free trials,5,1
1,Creating new accounts to abuse free trials,6,1
1,Creating new accounts to abuse free trials,7,1
1,Creating new accounts to abuse free trials,8,1
1,Creating new accounts to abuse free trials,9,1
2,Continuing to use company licensed software after quitting,0,1
2,Continuing to use company licensed software after quitting,1,1
2,Continuing to use company licensed software after quitting,2,1
2,Continuing to use company licensed software after quitting,3,1
2,Continuing to use company licensed software after quitting,4,1
2,Continuing to use company licensed software after quitting,5,1
2,Continuing to use company licensed software after quitting,6,1
2,Continuing to use company licensed software after quitting,7,1
2,Continuing to use company licensed software after quitting,8,1
2,Continuing to use company licensed software after quitting,9,1
3,Using academic email addresses to access professional services beyond student period,0,3
3,Using academic email addresses to access professional services beyond student period,1,3
3,Using academic email addresses to access professional services beyond student period,2,3
3,Using academic email addresses to access professional services beyond student period,3,3
3,Using academic email addresses to access professional services beyond student period,4,3
3,Using academic email addresses to access professional services beyond student period,5,3
3,Using academic email addresses to access professional services beyond student period,6,3
3,Using academic email addresses to access professional services beyond student period,7,3
3,Using academic email addresses to access professional services beyond student period,8,2
3,Using academic email addresses to access professional services beyond student period,9,3
4,"Sharing subscription service login credentials with others, in violation of terms of use.",0,2
4,"Sharing subscription service login credentials with others, in violation of terms of use.",1,2
4,"Sharing subscription service login credentials with others, in violation of terms of use.",2,2
4,"Sharing subscription service login credentials with others, in violation of terms of use.",3,2
4,"Sharing subscription service login credentials with others, in violation of terms of use.",4,1
4,"Sharing subscription service login credentials with others, in violation of terms of use.",5,1
4,"Sharing subscription service login credentials with others, in violation of terms of use.",6,1
4,"Sharing subscription service login credentials with others, in violation of terms of use.",7,2
4,"Sharing subscription service login credentials with others, in violation of terms of use.",8,2
4,"Sharing subscription service login credentials with others, in violation of terms of use.",9,1
5,Exploiting family/student/professional discounts without qualifying,0,1
5,Exploiting family/student/professional discounts without qualifying,1,1
5,Exploiting family/student/professional discounts without qualifying,2,1
5,Exploiting family/student/professional discounts without qualifying,3,1
5,Exploiting family/student/professional discounts without qualifying,4,1
5,Exploiting family/student/professional discounts without qualifying,5,1
5,Exploiting family/student/professional discounts without qualifying,6,1
5,Exploiting family/student/professional discounts without qualifying,7,1
5,Exploiting family/student/professional discounts without qualifying,8,1
5,Exploiting family/student/professional discounts without qualifying,9,1
6,Using someone else's loyalty card or account to gain points or discounts,0,1
6,Using someone else's loyalty card or account to gain points or discounts,1,1
6,Using someone else's loyalty card or account to gain points or discounts,2,1
6,Using someone else's loyalty card or account to gain points or discounts,3,1
