#,Question,Iteration,Response
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",0,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",1,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",2,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",3,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",6,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",7,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",11,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",12,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",13,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",14,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",15,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",16,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",17,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",18,1
