#,Question,Iteration,Response
1,Returning damaged goods when the damage was your own fault,0,3
1,Returning damaged goods when the damage was your own fault,1,3
1,Returning damaged goods when the damage was your own fault,2,3
1,Returning damaged goods when the damage was your own fault,3,2
1,Returning damaged goods when the damage was your own fault,4,2
1,Returning damaged goods when the damage was your own fault,5,2
1,Returning damaged goods when the damage was your own fault,6,3
1,Returning damaged goods when the damage was your own fault,7,3
1,Returning damaged goods when the damage was your own fault,8,2
1,Returning damaged goods when the damage was your own fault,9,3
1,Returning damaged goods when the damage was your own fault,10,2
1,Returning damaged goods when the damage was your own fault,11,3
1,Returning damaged goods when the damage was your own fault,12,2
1,Returning damaged goods when the damage was your own fault,13,3
1,Returning damaged goods when the damage was your own fault,14,2
1,Returning damaged goods when the damage was your own fault,15,3
1,Returning damaged goods when the damage was your own fault,16,2
1,Returning damaged goods when the damage was your own fault,17,2
1,Returning damaged goods when the damage was your own fault,18,2
1,Returning damaged goods when the damage was your own fault,19,3
1,Returning damaged goods when the damage was your own fault,20,2
1,Returning damaged goods when the damage was your own fault,21,2
1,Returning damaged goods when the damage was your own fault,22,2
1,Returning damaged goods when the damage was your own fault,23,3
1,Returning damaged goods when the damage was your own fault,24,3
1,Returning damaged goods when the damage was your own fault,25,2
1,Returning damaged goods when the damage was your own fault,26,3
1,Returning damaged goods when the damage was your own fault,27,3
1,Returning damaged goods when the damage was your own fault,28,3
1,Returning damaged goods when the damage was your own fault,29,2
1,Returning damaged goods when the damage was your own fault,30,3
1,Returning damaged goods when the damage was your own fault,31,3
1,Returning damaged goods when the damage was your own fault,32,2
1,Returning damaged goods when the damage was your own fault,33,3
1,Returning damaged goods when the damage was your own fault,34,2
1,Returning damaged goods when the damage was your own fault,35,3
1,Returning damaged goods when the damage was your own fault,36,3
1,Returning damaged goods when the damage was your own fault,37,2
1,Returning damaged goods when the damage was your own fault,38,3
1,Returning damaged goods when the damage was your own fault,39,2
1,Returning damaged goods when the damage was your own fault,40,3
1,Returning damaged goods when the damage was your own fault,41,2
1,Returning damaged goods when the damage was your own fault,42,3
1,Returning damaged goods when the damage was your own fault,43,2
1,Returning damaged goods when the damage was your own fault,44,2
1,Returning damaged goods when the damage was your own fault,45,3
1,Returning damaged goods when the damage was your own fault,46,3
1,Returning damaged goods when the damage was your own fault,47,2
1,Returning damaged goods when the damage was your own fault,48,2
1,Returning damaged goods when the damage was your own fault,49,2
1,Returning damaged goods when the damage was your own fault,50,2
1,Returning damaged goods when the damage was your own fault,51,3
1,Returning damaged goods when the damage was your own fault,52,2
1,Returning damaged goods when the damage was your own fault,53,2
1,Returning damaged goods when the damage was your own fault,54,3
1,Returning damaged goods when the damage was your own fault,55,3
1,Returning damaged goods when the damage was your own fault,56,3
1,Returning damaged goods when the damage was your own fault,57,3
1,Returning damaged goods when the damage was your own fault,58,3
1,Returning damaged goods when the damage was your own fault,59,2
1,Returning damaged goods when the damage was your own fault,60,3
1,Returning damaged goods when the damage was your own fault,61,3
1,Returning damaged goods when the damage was your own fault,62,2
1,Returning damaged goods when the damage was your own fault,63,2
1,Returning damaged goods when the damage was your own fault,64,2
1,Returning damaged goods when the damage was your own fault,65,2
1,Returning damaged goods when the damage was your own fault,66,2
1,Returning damaged goods when the damage was your own fault,67,3
1,Returning damaged goods when the damage was your own fault,68,3
1,Returning damaged goods when the damage was your own fault,69,3
1,Returning damaged goods when the damage was your own fault,70,3
1,Returning damaged goods when the damage was your own fault,71,2
1,Returning damaged goods when the damage was your own fault,72,2
1,Returning damaged goods when the damage was your own fault,73,2
1,Returning damaged goods when the damage was your own fault,74,2
1,Returning damaged goods when the damage was your own fault,75,3
1,Returning damaged goods when the damage was your own fault,76,3
1,Returning damaged goods when the damage was your own fault,77,2
1,Returning damaged goods when the damage was your own fault,78,2
1,Returning damaged goods when the damage was your own fault,79,3
1,Returning damaged goods when the damage was your own fault,80,2
1,Returning damaged goods when the damage was your own fault,81,2
1,Returning damaged goods when the damage was your own fault,82,3
1,Returning damaged goods when the damage was your own fault,83,3
1,Returning damaged goods when the damage was your own fault,84,2
1,Returning damaged goods when the damage was your own fault,85,2
1,Returning damaged goods when the damage was your own fault,86,3
1,Returning damaged goods when the damage was your own fault,87,2
1,Returning damaged goods when the damage was your own fault,88,3
1,Returning damaged goods when the damage was your own fault,89,2
1,Returning damaged goods when the damage was your own fault,90,2
1,Returning damaged goods when the damage was your own fault,91,2
1,Returning damaged goods when the damage was your own fault,92,2
1,Returning damaged goods when the damage was your own fault,93,2
1,Returning damaged goods when the damage was your own fault,94,3
1,Returning damaged goods when the damage was your own fault,95,2
1,Returning damaged goods when the damage was your own fault,96,3
1,Returning damaged goods when the damage was your own fault,97,2
1,Returning damaged goods when the damage was your own fault,98,2
1,Returning damaged goods when the damage was your own fault,99,2
2,Giving misleading price information to a clerk for an unpriced item,0,2
2,Giving misleading price information to a clerk for an unpriced item,1,2
2,Giving misleading price information to a clerk for an unpriced item,2,2
2,Giving misleading price information to a clerk for an unpriced item,3,3
2,Giving misleading price information to a clerk for an unpriced item,4,2
2,Giving misleading price information to a clerk for an unpriced item,5,2
2,Giving misleading price information to a clerk for an unpriced item,6,2
2,Giving misleading price information to a clerk for an unpriced item,7,2
2,Giving misleading price information to a clerk for an unpriced item,8,2
2,Giving misleading price information to a clerk for an unpriced item,9,2
2,Giving misleading price information to a clerk for an unpriced item,10,2
2,Giving misleading price information to a clerk for an unpriced item,11,2
2,Giving misleading price information to a clerk for an unpriced item,12,2
2,Giving misleading price information to a clerk for an unpriced item,13,2
2,Giving misleading price information to a clerk for an unpriced item,14,3
2,Giving misleading price information to a clerk for an unpriced item,15,2
2,Giving misleading price information to a clerk for an unpriced item,16,2
2,Giving misleading price information to a clerk for an unpriced item,17,2
2,Giving misleading price information to a clerk for an unpriced item,18,2
